datetime,ISIN,opening_price_eur,closing_price_eur,minimum_price_eur,maximum_price_eur,daily_traded_volume,StartPrice_eur,EndPrice_eur,desviacion_estandar,EndPrice_mxn
2022-12-31 08:06:00,AT000000STR1,36.6,36.7,35.75,36.7,1773,35.75,35.75,0.0,686.4
2022-12-31 08:06:00,AT00000FACC2,8.05,8.57,7.87,8.57,10205,8.0,7.87,0.0919238815542511,151.10399999999998
2022-12-31 08:10:00,AT0000606306,14.51,15.0,13.65,15.28,107836,13.65,13.66,0.007071067811865324,262.272
2022-12-31 08:06:00,AT0000609607,11.74,12.06,11.7,12.06,1065,11.7,11.7,0.0,224.64
2022-12-31 08:04:00,AT0000644505,98.2,99.2,96.1,99.2,531,96.1,96.1,0.0,1845.12
2022-12-31 08:13:00,AT0000652011,32.17,32.4,30.66,32.7,35792,30.66,30.67,0.007071067811866581,588.864
2022-12-31 08:04:00,AT0000730007,40.32,39.0,38.76,40.32,3292,38.76,38.76,0.0,744.1919999999999
2022-12-31 08:09:00,AT0000743059,44.36,43.1,40.85,44.36,31274,40.85,40.85,0.0,784.32
2022-12-31 11:10:00,AT0000746409,104.0,108.4,102.5,108.4,538,102.5,102.5,0.0,1968.0
2022-12-31 08:12:00,AT0000785407,29.4,28.8,28.8,30.25,4095,28.8,28.8,0.0,552.96
2022-12-31 08:04:00,AT0000785555,27.45,26.9,26.9,27.45,130,26.9,26.9,0.0,516.4799999999999
2022-12-31 08:04:00,AT0000821103,7.3,7.24,7.22,7.3,3400,7.22,7.22,0.0,138.624
2022-12-31 08:11:00,AT0000827209,0.944,0.992,0.944,1.015,13000,0.944,0.944,0.0,18.124799999999997
2022-12-31 08:06:00,AT0000831706,26.82,26.78,26.1,26.82,1363,26.1,26.1,0.0,501.12
2022-12-31 10:07:00,AT0000922554,41.7,40.7,40.7,41.7,10,40.7,40.7,0.0,781.44
2022-12-31 08:14:00,AT0000937503,28.9,29.46,28.8,29.46,3688,28.8,28.8,0.0,552.96
2022-12-31 08:04:00,AT0000938204,166.6,166.8,165.4,166.8,401,165.4,165.4,0.0,3175.68
2022-12-31 08:04:00,AT0000946652,37.75,36.85,36.85,37.75,122,36.9,36.85,0.03535533905932537,707.52
2022-12-31 08:06:00,AT0000969985,47.85,48.7,47.0,49.0,9375,47.0,47.1,0.07071067811865576,904.32
2022-12-31 08:04:00,AT0000A00Y78,1.95,1.93,1.855,1.99,52046,1.86,1.855,0.003535533905932819,35.616
2022-12-31 08:00:00,AT0000A0E9W5,13.88,14.08,13.8,14.27,140548,13.8,13.8,0.0,264.96
2022-12-31 08:04:00,AT0000A18XM4,13.79,14.02,13.445,14.02,10224,13.445,13.445,0.0,258.144
2022-12-31 08:05:00,AT0000A25NJ6,17.6,17.8,17.6,18.0,2079,17.6,17.6,0.0,337.92
2022-12-31 08:04:00,AT0000APOST4,36.1,36.5,35.25,36.5,1106,35.25,35.25,0.0,676.8
2022-12-31 08:55:00,AT0000BAWAG2,46.48,47.64,46.26,47.64,902,46.28,46.26,0.014142135623733162,888.1919999999999
2022-12-31 09:02:00,AT0000KTMI02,80.0,80.3,79.7,80.3,57,80.0,79.7,0.21213203435596226,1530.24
2022-12-31 10:21:00,AT000AGRANA3,16.68,16.54,16.54,16.68,100,16.54,16.54,0.0,317.568
2022-12-31 08:04:00,ATFREQUENT09,27.3,28.0,27.1,28.2,4528,27.1,27.1,0.0,520.32
2022-12-31 08:04:00,AU0000066086,5.54,5.52,5.52,5.54,355,5.52,5.52,0.0,105.984
2022-12-31 08:06:00,BE0974293251,56.8,55.17,55.17,56.9,5154,55.17,55.17,0.0,1059.264
2022-12-31 08:04:00,BE0974320526,35.94,36.99,35.65,36.99,1440,35.65,35.65,0.0,684.4799999999999
2022-12-31 08:19:00,BG9000011163,0.5,0.4808,0.4767,0.5,5200,0.4767,0.4767,0.0,9.15264
2022-12-31 10:13:00,BGSLOBI02187,1.1762,1.146,1.1294,1.1762,200,1.1294,1.1294,0.0,21.684479999999997
2022-12-31 08:37:00,CA0203981034,0.622,0.66,0.62,0.66,21165,0.62,0.62,0.0,11.904
2022-12-31 08:04:00,CA0585861085,8.602,9.968,8.558,10.0,192457,8.6,8.558,0.029698484809834867,164.31359999999998
2022-12-31 08:04:00,CA0679011084,20.15,20.2,20.035,20.545,171470,20.04,20.035,0.0035355339059320342,384.67199999999997
2022-12-31 10:53:00,CA09228F1036,5.945,6.125,5.945,6.125,86,5.945,5.945,0.0,114.144
2022-12-31 08:04:00,CA0977512007,1.073,1.106,1.054,1.106,16850,1.073,1.054,0.013435028842544336,20.2368
2022-12-31 08:06:00,CA32076V1031,10.295,10.075,9.982,10.4,17291,9.982,9.982,0.0,191.65439999999998
2022-12-31 08:04:00,CA4969024047,4.881,4.598,4.551,5.002,53325,4.552,4.551,0.0007071067811861557,87.3792
2022-12-31 08:04:00,CA67077M1086,72.0,74.36,72.0,77.0,3082,72.0,72.0,0.0,1382.3999999999999
2022-12-31 09:22:00,CA7847301032,17.75,17.805,17.45,17.805,302,17.45,17.45,0.0,335.03999999999996
2022-12-31 08:35:00,CA81732W1041,1.04,1.025,1.015,1.04,3690,1.015,1.015,0.0,19.487999999999996
2022-12-31 08:04:00,CA9628791027,39.2,38.98,38.71,39.8,1953,38.71,38.71,0.0,743.232
2022-12-31 08:24:00,CA98421R1055,0.714,0.761,0.714,0.761,3210,0.714,0.714,0.0,13.708799999999998
2022-12-31 08:06:00,CA98462Y1007,4.471,4.378,4.345,4.568,145225,4.345,4.345,0.0,83.42399999999999
2022-12-31 08:04:00,CH0006539198,3.8,3.76,3.76,3.8,1221,3.76,3.76,0.0,72.192
2022-12-31 08:06:00,CH0038389992,60.7,61.8,60.25,61.8,17069,60.25,60.25,0.0,1156.8
2022-12-31 08:04:00,CH0198251305,24.56,23.13,23.11,24.56,4051,23.11,23.11,0.0,443.712
2022-12-31 08:58:00,CH0303692047,11.8,11.8,11.7,12.0,7095,11.7,11.7,0.0,224.64
2022-12-31 08:04:00,CH0396131929,161.0,148.0,140.0,161.0,356,140.0,140.0,0.0,2688.0
2022-12-31 08:04:00,CH0445689208,11.682,12.326,11.35,12.465,12010,11.351,11.35,0.0007071067811874117,217.92
2022-12-31 11:52:00,CH0451424300,0.075,0.075,0.075,0.075,11858,0.075,0.075,0.0,1.44
2022-12-31 08:04:00,CH0454664001,13.553,12.92,11.95,14.496,276298,11.95,11.95,0.0,229.43999999999997
2022-12-31 08:04:00,CH0454664027,29.57,28.156,26.272,31.584,127072,26.272,26.272,0.0,504.4223999999999
2022-12-31 08:09:00,CH0475552201,12.587,13.098,12.475,13.192,937,12.475,12.475,0.0,239.51999999999998
2022-12-31 08:04:00,CH0491507486,15.341,16.282,15.254,16.282,100,15.254,15.254,0.0,292.8768
2022-12-31 08:04:00,CH0514065058,0.9904,0.9228,0.9156,1.0021,215085,0.9156,0.921,0.003818376618407407,17.6832
2022-12-31 09:53:00,CH0557519201,0.3,0.306,0.3,0.306,27000,0.3,0.3,0.0,5.76
2022-12-31 10:36:00,CH0560888270,2.48,2.59,2.48,2.59,7200,2.48,2.48,0.0,47.616
2022-12-31 08:14:00,CH0593331561,8.326,8.563,8.1175,8.577,14195,8.1175,8.1175,0.0,155.856
2022-12-31 08:04:00,CH1102728750,15.968,16.776,15.68,16.903,17861,15.68,15.68,0.0,301.056
2022-12-31 08:04:00,CH1109575535,8.2525,8.5685,8.1935,8.5685,76,8.1935,8.1935,0.0,157.3152
2022-12-31 08:04:00,CH1114873776,48.604,52.29,48.604,53.0,2279,48.604,48.604,0.0,933.1967999999999
2022-12-31 08:04:00,CNE1000031C1,1.285,1.37,1.285,1.395,152221,1.285,1.302,0.012020815280171397,24.9984
2022-12-31 11:14:00,DE0001218063,19.95,19.9,19.25,19.95,2069,19.3,19.3,0.0,370.56
2022-12-31 09:40:00,DE0001262152,2.5,2.5,2.5,2.5,281,2.5,2.5,0.0,48.0
2022-12-31 08:25:00,DE0001644565,15.1,14.9,14.7,15.1,354,14.7,14.7,0.0,282.23999999999995
